Country,Category,Product Name,Sales,Quantity
Canada,Electronics,iPhone 14 Pro,1999.98,2
Italy,Home Appliances,Dyson V11 Vacuum,499.99,1
Singapore,Clothing,Levi's 501 Jeans,209.97,3
United States,Books,The Da Vinci Code,63.96,4
Spain,Beauty Products,Neutrogena Skincare Set,89.99,1
Singapore,Sports,Wilson Evolution Basketball,149.95,5
Canada,Electronics,MacBook Pro 16-inch,2499.99,1
UK,Home Appliances,Blueair Classic 480i,1199.98,2
China,Clothing,Nike Air Force 1,539.94,6
Mexico,Books,Dune by Frank Herbert,51.98,2
UK,Beauty Products,Chanel No. 5 Perfume,129.99,1
Japan,Sports,Babolat Pure Drive Tennis Racket,599.97,3
United States,Electronics,Samsung Galaxy Tab S8,1499.98,2
Spain,Home Appliances,Keurig K-Elite Coffee Maker,189.99,1
Singapore,Clothing,North Face Down Jacket,499.98,2
United States,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",107.97,3
Germany,Beauty Products,Dyson Supersonic Hair Dryer,399.99,1
Singapore,Sports,Manduka PRO Yoga Mat,479.96,4
Mexico,Electronics,Garmin Forerunner 945,999.98,2
Italy,Home Appliances,Ninja Professional Blender,99.99,1
Singapore,Clothing,Zara Summer Dress,179.97,3
Canada,Books,Gone Girl by Gillian Flynn,45.98,2
Italy,Beauty Products,Olay Regenerist Face Cream,49.99,1
Japan,Sports,Adidas FIFA World Cup Football,89.97,3
United States,Electronics,Bose QuietComfort 35 Headphones,299.99,1
France,Home Appliances,Panasonic NN-SN966S Microwave,179.99,1
Japan,Clothing,Adidas Ultraboost Shoes,359.98,2
United States,Books,Pride and Prejudice by Jane Austen,38.97,3
Spain,Beauty Products,MAC Ruby Woo Lipstick,29.99,1
Singapore,Sports,Nike Air Zoom Pegasus 37,259.98,2
Mexico,Electronics,Sony WH-1000XM4 Headphones,699.98,2
Italy,Home Appliances,Instant Pot Duo,269.97,3
China,Clothing,Under Armour HeatGear T-Shirt,149.95,5
United States,Books,1984 by George Orwell,79.96,4
Spain,Beauty Products,L'Oreal Revitalift Serum,79.98,2
India,Sports,Peloton Bike,1895.0,1
Mexico,Electronics,Apple Watch Series 8,1199.97,3
France,Home Appliances,Roomba i7+,1599.98,2
South Korea,Clothing,Columbia Fleece Jacket,239.96,4
United States,Books,Harry Potter and the Sorcerer's Stone,74.97,3
Italy,Beauty Products,Estee Lauder Advanced Night Repair,105.0,1
India,Sports,Fitbit Charge 5,259.98,2
United States,Electronics,GoPro HERO10 Black,1199.97,3
Italy,Home Appliances,Nespresso VertuoPlus,199.99,1
China,Clothing,Patagonia Better Sweater,279.98,2
United States,Books,Becoming by Michelle Obama,130.0,4
UK,Beauty Products,Clinique Moisture Surge,52.0,1
India,Sports,Yeti Rambler Tumbler,239.94,6
Mexico,Electronics,Kindle Paperwhite,259.98,2
France,Home Appliances,Breville Smart Oven,299.99,1
China,Clothing,Ray-Ban Aviator Sunglasses,464.97,3
United States,Books,The Silent Patient by Alex Michaelides,53.98,2
Spain,Beauty Products,Shiseido Ultimate Sun Protector,49.0,1
India,Sports,Titleist Pro V1 Golf Balls,249.95,5
Mexico,Electronics,Anker PowerCore Portable Charger,239.96,4
Italy,Home Appliances,KitchenAid Artisan Stand Mixer,499.99,1
Singapore,Clothing,Calvin Klein Boxer Briefs,149.95,5
United States,Books,Educated by Tara Westover,84.0,3
Spain,Beauty Products,Anastasia Beverly Hills Brow Wiz,46.0,2
Japan,Sports,Hyperice Hypervolt Massager,349.0,1
